index,title,original_language,release_date,popularity,vote_average,vote_count,overview,
9846,Air Strike,en,26/10/2018,12.724,4.9,209,An American pilot is sent to a Chinese province to teach a crew of would-be pilots how to fly war planes against the Japanese during World War II.,
9847,Parwana,hi,04/04/1971,12.724,4.2,3,"Kumar Sen is an artist of eminence, a talented painter, and a renowned sculptor; and like the majority of his clan, he has a sensitive introvert. But no artist can achieve any degree of brilliance in his work. Miss Asha Varma is the only niece of a retired, jovial old pensioner, Ashok Varma, and she is truly the light of Kumar's life. One stormy night, Kumar tries to hold Ashok Varma to his unsaid promise of giving him asha's hand in marriage. But the interview ends in unpleasantness for both of them, as angrily the old man ordered Kumar never to darken his doorstep again. Soon after Ashok Varma is strangled to death. Asha's beau Rajesh is arrested for Ashok's murder. The whole drama unfolds in court and truth prevails, who really murdered Ashok Varma and whether Rajesh is innocent or guilty.",
9848,Bad Santa,en,26/11/2003,12.724,6.5,1890,A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.,
9849,Caught by a Wave,it,25/03/2021,12.723,6.6,231,A summer fling born under the Sicilian sun quickly develops into a heartbreaking love story that forces a boy and girl to grow up too quickly.,
9850,Angela's Christmas Wish,en,01/12/2020,12.721,6.4,95,"A determined Angela makes a wish to reunite her family in time for Christmas, then launches a plan to find her way from Ireland to Australia.",
9851,The Jungle Book,en,23/12/1994,12.721,5.9,423,"Raised by wild animals since childhood, Mowgli is drawn away from the jungle by the beautiful Kitty. But Mowgli must eventually face corrupt Capt. Boone, who wants both Kitty's hand and the treasures of Monkey City â€“ a place only Mowgli can find.",
9852,Silent Roar,en,18/08/2023,12.72,0,0,"Dondo is a young surfer. His fisherman dad Willy disappeared a year ago.  No sign of his boat, nor his body. Dondoâ€™s mother and the community know Willy has not survived a year in the Atlantic.  But Dondo thinks differently.",
9853,Tammy and the T-Rex,en,28/12/1994,12.719,5.2,116,"An evil scientist implants the brain of Michael, a murdered high school student, into an animatronic Tyrannosaurus. Michael escapes, wreaks vengeance on the high school tormentors who killed him, and is reunited with his sweetheart Tammy. Together, the couple try to elude the mad scientist and the police and find a more appropriate vessel for Michael's brain.",
9854,Hearts in Atlantis,en,07/09/2001,12.719,6.8,474,A widowed mother and her son change when a mysterious stranger enters their lives.,
9855,Major League,en,16/02/1989,12.718,6.9,679,"When Rachel Phelps inherits the Cleveland Indians from her deceased husband, she's determined to move the team to a warmer climateâ€”but only a losing season will make that possible, which should be easy given the misfits she's hired. Rachel is sure her dream will come true, but she underestimates their will to succeed.",
9856,Equals,en,15/07/2015,12.717,6.1,1282,A futuristic love story set in a world where emotions have been eradicated.,
9857,Love Wrecked,en,01/11/2005,12.717,5.1,456,"On a Caribbean cruise, Jenny is marooned on a beach with her rock and roll idol. Deliriously in love with the idea of time alone with him, she manages to hide the fact that they're a stone's throw away from their resort.",
9858,The Chase,en,04/03/1994,12.715,5.7,305,"Jack Hammond is sentenced to life in prison, but manages to escape. To get away from the police he takes a girl as hostage and drives off in her car. The girl happens to be the only daughter of one of the richest men in the state. In a while the car chase is being broadcast live on every TV-channel.",
9859,True Crime,en,19/03/1999,12.713,6.5,651,"Boozer, skirt chaser, careless father. You could create your own list of reporter Steve Everett's faults but there's no time. A San Quentin Death Row prisoner is slated to die at midnight â€“ a man Everett has suddenly realized is innocent.",
9860,The Two Faces of Dr. Jekyll,en,24/10/1960,12.713,6.3,94,"After a series of scientific experiments directed towards freeing the inner man and controlling human personalities, the kindly, generous Dr Henry Jekyll succeeds in freeing his own alter ego, Edward Hyde, a sadistic, evil creature whose pleasure is murder.",
9861,Blade of the Immortal,ja,29/04/2017,12.712,6.6,472,"Manji, a highly skilled samurai, becomes cursed with immortality after a legendary battle. Haunted by the brutal murder of his sister, Manji knows that only fighting evil will regain his soul. He promises to help a young girl named Rin avenge her parents, who were killed by a group of master swordsmen led by ruthless warrior Anotsu. The mission will change Manji in ways he could never imagine.",
9862,Misbehavior,ko,16/11/2016,12.709,5.6,19,Two female teachers and a male student hit with the inevitable disturbance of a coming whirlpool.,
9863,The Glass House,en,14/09/2001,12.709,5.9,881,"When Ruby and Rhett's parents are killed in a car accident, their carefree teenage lives are suddenly shattered. Moving to an incredible house in Malibu with the Glasses', old friends of the family, seems to be the beginning of a new life for them.",
9864,Beach Rats,en,25/08/2017,12.707,6,472,"On the outskirts of Brooklyn, Frankie, an aimless teenager, suffocates under the oppressive glare cast by his family and a toxic group of delinquent friends. Struggling with his own identity, Frankie begins to scour hookup sites for older men.",
9865,Zulu,en,04/12/2013,12.707,6.7,448,"As a child, Ali Neuman narrowly escaped being murdered by Inkhata, a militant political party at war with Nelson Mandela's African National Congress. Only he and his mother survived the carnage of those years. But as with many survivors, the psychological scars remain.",
9866,Mulan: Rise of a Warrior,zh,26/11/2009,12.707,7.4,386,"When barbarian hordes threaten her homeland, the brave and cunning Mulan disguises herself as a male soldier to swell the ranks in her aging father's stead. The warrior's remarkable courage drives her through powerful battle scenes and brutal wartime strategy. Mulan loses dear friends to the enemy's blade as she rises to become one of her country's most valuable leaders â€” but can she win the war before her secret is exposed?",
9867,Sky of Love,ja,03/11/2007,12.705,7.8,156,"Mika is a fresh high school student who starts texting a mysterious boy. She is shocked when he reveals who he is - Hiro, a delinquent attending her school. What she doesn't know is that Hiro isn't as bad as he seems.",
9868,My Blueberry Nights,en,28/11/2007,12.705,6.4,674,"Elizabeth has just been through a particularly nasty breakup, and now she's ready to leave her friends and memories behind as she chases her dreams across the country. In order to support herself on her journey, Elizabeth picks up a series of waitress jobs along the way. As Elizabeth crosses paths with a series of lost souls whose yearnings are even greater than her own, their emotional turmoil ultimately helps her gain a greater understanding of her own problems...",
9869,The Ward,en,13/09/2010,12.704,5.8,1101,"Kristen, a troubled young woman, is captured by the police after burning down a farmhouse and is locked in the North Bend Psychiatric Hospital. Soon, she begins to suspect that the place has a dark secret at its core and she's determined to find out what it is.",
9870,Asterix and the Big Fight,fr,04/10/1989,12.704,6.4,540,"Gaullish custom requires that a would-be chief must challenge and defeat another to become the leader of two tribes. Vitalstatistix is not perturbed because of Getafix's magic potion. Getafix, however has an accident and forgets how to make it. Then Vitalstatistix is suddenly challenged.",
9871,Benny & Joon,en,16/04/1993,12.704,7,690,A mentally ill young woman finds her love in an eccentric man who models himself after Buster Keaton.,
9872,Alien Warfare,en,05/04/2019,12.701,4.1,132,A team of Navy Seals investigates a mysterious science outpost only to have to combat a squad of powerful alien soldiers.,
9873,Kill Chain,en,20/02/2020,12.701,5.2,128,"A hotel room shootout between two assassins kicks off a long night where bodies fall like dominoes, as we follow a chain of crooked cops, gangsters, hitmen, a femme Fatale and an ex-mercenary through a relay of murder, betrayal, revenge and redemption.",
9874,Off Course,es,03/03/2015,12.701,6.3,318,"Two young Spanish men, with a university education, are tired of unemployment and decide to move to Germany. But soon they will find out that finding a better living is not as easy as they expected.",
9875,Game of Death,en,15/02/2011,12.7,5,129,"CIA agent Marcus is sent undercover to Detroit to take out an arms dealer and the head of the hedge fund that is financing him. His CIA backup has other plans and turns on him, and it's a fight to survive in a hospital and into the hedge fund vault.",
9876,Missing in Action 2: The Beginning,en,01/03/1985,12.7,5.8,240,"Prequel to the first Missing In Action, set in the early 1980s it shows the capture of Colonel Braddock during the Vietnam war in the 1970s, and his captivity with other American POWs in a brutal prison camp, and his plans to escape.",
9877,Ida,pl,25/10/2013,12.699,7.3,885,"Anna, a young novitiate in 1960s Poland, is on the verge of taking her vows when she discovers a family secret dating back to the years of the German occupation.",
9878,The Hudsucker Proxy,en,11/03/1994,12.699,7.1,910,A naive business graduate is installed as president of a manufacturing company as part of a stock scam.,
9879,The Phantom,en,06/06/1996,12.699,5.2,506,The 21st successor to the role of Bengalla's resident superhero must travel to New York to prevent a rich madman from obtaining three magic skulls that would give him the secret to ultimate power.,
9880,Ransom,en,08/11/1996,12.699,6.6,1642,"When a rich man's son is kidnapped, he cooperates with the police at first but then tries a unique tactic against the criminals.",
9881,Mank,en,13/11/2020,12.697,6.7,1429,1930s Hollywood is reevaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane.,
9882,Dead Snow,no,09/01/2009,12.696,6,1013,Eight medical students on a ski trip to Norway discover that Hitler's horrors live on when they come face to face with a battalion of zombie Nazi soldiers intent on devouring anyone unfortunate enough to wander into the remote mountains where they were once sent to die.,
9883,The Runaways,en,19/03/2010,12.695,6.4,726,"Joan Jett and Cherie Currie, two rebellious teenagers from Southern California, become the frontwomen for The Runaways -- the now-legendary group that paved the way for future generations of female rockers. Under the Svengali-like influence of impresario Kim Fowley, the band becomes a huge success.",
9884,Action Replayy,hi,05/11/2010,12.694,5.3,61,A young man tries to revive his parents' wilting marriage by traveling to the 1970s when their romance was budding to help make it bloom: something more complex than he expects.,
9885,"Torrente, the Dumb Arm of the Law",es,13/03/1998,12.694,6.4,229,"Torrente, The Stupid Arm of The Law by Santiago Segura stars Javier CÃ¡mara as a corrupt, poor, delusional, sexist, egocentric, drunk and right-winged Madrid cop named Torrente. This over the top comedy shows Torrente on his search for heroin drug dealers and the outrageous characters he passes on his way. A cult film and one of the funniest Spanish films was the most successful box-office film.",
9886,Porno,tl,27/07/2013,12.693,5.8,35,"An assassin, a porn dubber and a transgender. Three souls. One explicit illusion. To ï¬Ånd the ultimate joy in their empty lives.  A safe haven, where passion and love mean humanity, ecstasy means enlightenment; and the soul is the ultimate arbiter of the truth.",
9887,Mother And Daughter Car Center,ko,01/01/2021,12.69,4,1,"Yeon Ja, a working mother, runs a car center after divorce and is raising her daughter all by herself. Her daughter, Ah Jung, started helping her when she became an adult, however, the customers don't trust weak-looking women to touch machines and the business at the car center is slow. Thanks to Ah Jung's punk boyfriend, Sung Hoon, they came up with an idea to turn the car center into a sexy car center.",
9888,"Merry Christmas, Drake & Josh",en,05/12/2008,12.69,7.4,200,Step brothers Drake and Josh must give a foster family the best Christmas ever or face years in jail for a Christmas party gone wrong.,
9889,Chasers,en,22/04/1994,12.69,5.3,126,"Military men Rock Reilly and Eddie Devane are tasked with taking a prisoner, blonde bombshell Toni Johnson, on what becomes an unforgettable road trip. Toni, an enlistee who's in trouble for deserting her unit, soon proves that she's craftier than most inmates.",
9890,What Happened to Mr Cha?,ko,01/01/2021,12.689,6.9,25,"With the peak of his career long behind him, an actor clings to his past glory â€” until a sudden wake-up call forces him to face who he's become.",
9891,Kung Fu League,zh,19/10/2018,12.689,5.6,92,A poor comic book artist summons four legendary Kung Fu masters to learn the highest level of martial arts and help him get his girl.,
9892,My Mom's New Boyfriend,en,30/04/2008,12.689,5.3,211,Henry Durand is a young federal agent who is given a difficult assignment: spy on his mother and her boyfriend who is suspected of leading a gang of art thieves.,
9893,Harsh Times,en,11/09/2005,12.689,6.4,598,"Jim Davis is an ex-Army Ranger who finds himself slipping back into his old life of petty crime after a job offer from the LAPD evaporates. His best friend is pressured by his girlfriend Sylvia to find a job, but Jim is more interested in hanging out and making cash from small heists, while trying to get a law enforcement job so he can marry his Mexican girlfriend.",
9894,The Cotton Club,en,14/12/1984,12.687,6.6,354,Harlem's legendary Cotton Club becomes a hotbed of passion and violence as the lives and loves of entertainers and gangsters collide.,
9895,"Tomorrow, When the War Began",en,08/08/2010,12.686,6.2,464,"Ellie Linton, a teen from an Australian coastal town, leads her friends on an excursion to a camp deep in the woods, dubbed ""Hell."" Upon their return, the youths find that their town has been overrun by an enemy army, and their friends and family have been imprisoned. When the hostile invaders become alerted to their presence, Ellie and her friends band together to escape -- and strike back against -- this mysterious enemy.",
9896,Novitiate,en,27/10/2017,12.685,6.4,145,"In the early 1960s, during the Vatican II era, a young woman training to become a nun struggles with issues of faith, sexuality and the changing church.",
9897,The Signal,en,15/03/2014,12.685,6,1530,"On a road trip, Nic and two friends are drawn to an isolated area by a computer genius. When everything suddenly goes dark, Nic regains consciousness â€“ only to find himself in a waking nightmare.",
9898,Shape of Red,ja,21/02/2020,12.684,4.5,83,"TÅçko Muranushi is married and they have a lovely daughter. She doesn't have any major problems in her life. One day, TÅçko meets her former lover, Akihiko Kurata, at a friend's wedding. They haven't seen each other in ten years. TÅçko indulges in a sexual relationship with Kurata.",
9899,The Mermaid: Lake of the Dead,ru,12/07/2018,12.684,6.2,288,"An evil Mermaid falls in love with Marina's fiancÃ© Roman and aims to keep him away from Marina in her Kingdom of Death under water. The Mermaid is a young woman who drowned a few centuries ago. Marina only has one week to overcome her fear of the dark water, to remain human in the deathly fight with the monsters and not to become one herself.",
9900,Surviving Christmas,en,21/09/2004,12.684,5.7,476,"Drew Latham is an executive leading an empty, shallow life with only wealth on his side. Facing another lonely Christmas ahead, he revisit his old childhood home in the hope of reliving some old holiday memories â€“ but he finds that the house in which he was raised is no longer the home in which he grew up.",
9901,How It Ends,en,20/07/2021,12.682,5,55,"A woman scores an invite to one last wild party before the world ends. However, making it there won't be easy after her car is stolen and the clock is ticking on her plan to tie up loose ends with friends and family.",
9902,American Mary,en,31/05/2012,12.682,6.1,447,A young medical student struggling to pay tuition is drawn into the shady world of underground body-modification.,
9903,A Close Shave,en,10/04/1995,12.681,7.5,703,"Wallace's whirlwind romance with the proprietor of the local wool shop puts his head in a spin, and Gromit is framed for sheep-rustling in a fiendish criminal plot.",
9904,Detective Conan: The Bride of Halloween,ja,15/04/2022,12.68,6.4,59,"Shibuya, Tokyo, is bustling with the Halloween season. A wedding is being held at Shibuya Hikarie, where Detective Miwako Sato of the Metropolitan Police Department is dressed in a wedding dress. While Conan and the other invited guests are watching, an assailant suddenly bursts in, and Detective Wataru Takagi, who was trying to protect Sato, is injured. Takagi survived and the situation was settled, but in Sato's eyes, the image of the grim reaper that she had seen when Detective Matsuda, the man she had been in love with, had been killed in a series of bombings three years ago, overlapped with Takagi's.",
9905,Christmas with a View,en,01/11/2018,12.68,5.8,289,"This Christmas, Thunder Mountain Ski Resort is abuzz when celebrity chef Shane Roarke is named the new head chef. Clara Garrison isn't as excited and is instead focused on getting resettled after her failed attempt at opening a restaurant in the city. With their paths constantly crossing, will their shared passion for cooking bring them together or will secrets keep them apart?",
9906,Stay Out of the Attic,en,15/10/2020,12.679,5.5,72,"A diverse group of ex-cons-turned-movers are convinced by their creepy client, Vern Muller, to pull an all-nighter for a generous pay bump.  As the night progresses and rooms are cleared, they slowly uncover the horrors that exist inside his old Victorian mansion, which include boobytraps, human experimentation, Nazi monsters and more. Will they survive the night?",
9907,Paulie,en,17/04/1998,12.679,6.7,404,"Paulie, a talking parrot, recounts his travels looking for his original owner to a Russian janitor who helps him to the end of his journey.",
9908,JoJo's Bizarre Adventure: Diamond is Unbreakable â€“ Chapter 1,ja,04/08/2017,12.678,6.9,71,"Morioh, 1999â€”a normally quiet and peaceful town has recently become a hotbed of strange activity. JÅçtarÅç KÅ«jÅç, now a marine biologist, heads to the mysterious town to meet JÅçsuke Higashikata. While the two may seem like strangers at first, JÅçsuke is actually the illegitimate child of JÅçtarÅç's grandfather, Joseph Joestar. When they meet, JÅçtarÅç realizes that he may have more in common with JÅçsuke than just a blood relation. Along with the mild-mannered KÅçichi Hirose and the boisterous Okuyasu Nijimura, the group dedicates themselves to investigating recent disappearances and other suspicious occurrences within Morioh. Aided by the power of Stands, the four men will encounter danger at every street corner, as it is up to them to unravel the town's secrets, before another occurs.",
9909,Fading Gigolo,en,07/09/2013,12.678,5.8,538,"Fioravante decides to become a professional Don Juan as a way of making money to help his cash-strapped friend, Murray. With Murray acting as his ""manager"", the duo quickly finds themselves caught up in the crosscurrents of love and money.",
9910,Hulk vs. Thor,en,27/01/2009,12.677,6.8,197,"For ages, Odin has protected his kingdom of Asgard. But every winter, the All-Father must rest and regain his strength for one week. During this time, all of Asgard's foes (including trolls, giants, dark elves, and demons) try to claim the realm for their own, but they are always stopped by Odin's son, the mighty Thor, albeit with the loss of many brave Asgardian warriors. Loki, god of mischief, has kidnapped Dr. Bruce Banner and brought him to Asgard with the help of Amora, once Thor's lover, now the supervillain known as the Enchantress. Loki makes Banner angry and he changes into the Hulk. The Enchantress then casts a spell over the Hulk which separates Banner from his monstrous alter-ego and grants Loki control over the Hulk's body.",
9911,Bride of Re-Animator,en,01/09/1990,12.677,6.5,389,"Herbert West once again revives the dead. This time, he brings Dan's ex-girlfriend's heart back inside a 'perfect' body. Dr. Hill returns as the evil nemesis who lost his head.",
9912,Waist Deep,en,23/06/2006,12.676,6.5,234,An ex-convict (Tyrese) gets tangled up with a gang after his car is hijacked with his son inside.,
9913,Madly Madagascar,en,29/01/2013,12.675,6.6,209,"Your favorite Madagascar pals are back in an all-new adventure! Alex's favorite holiday, Valentine's Day, brings hilarious surprises and excitement for the entire gang. Melman plans a big surprise for Gloria, Marty tries to impress a new friend and everyone wants to get their hands on King Julien's love potion. You'll fall in LOVE with Madly Madagascar!",
9914,What a Way to Go!,en,12/10/1964,12.675,7.1,63,"A four-time widow discusses her four marriages, in which all of her husbands became incredibly rich and died prematurely because of their drive to be rich.",
9915,Dr. T & the Women,en,13/09/2000,12.675,4.9,293,"A successful Texas gynecologist finds himself amid a bevy of women and their problems â€“ his wifeâ€™s breakdown, his daughter's fake marriage, his other daughterâ€™s conspiracy theories, and his secretaryâ€™s crush. Craving time for himself, he finds solace in a kind outsider.",
9916,Closest Love to Heaven,ja,25/02/2017,12.672,7.7,69,"Nino is a quiet outcast with only a bird for a friend. Kira is a popular boy with a big secret. Even though they live next to each other, they have never spoken. But when Nino learns Kira's secret, everything begins to change, and what starts as a hesitant friendship grows into something moreâ€? but how long can it last?",
9917,Assassination,ko,22/07/2015,12.672,7.4,205,"In Japanese-occupied Korea, three freedom fighters are assigned a mission to assassinate a genocidal military leader and his top collaborator. But the plan goes completely awry amidst double-crossings, counter-assassinations, and a shocking revelation about one of the assassins' past.",
9918,A Girl Walks Home Alone at Night,en,21/11/2014,9.656,6.8,760,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire.",
9919,The Silent Revolution,de,01/03/2018,12.67,7.4,215,"Stalinstadt, East Germany, 1956. While the Hungarian uprising against Soviets is taking place, teenage members of a classroom of the local school perform a seemingly harmless act that causes unexpected consequences.",
9920,Mass,en,08/10/2021,12.67,7.6,188,Two couples meet for a painful and raw conversation in the aftermath of a violent tragedy.,
9921,Hysteria,en,06/06/2011,12.67,6.7,750,"Two doctors in Victorian England use manual stimulation of female genitalia to cure their patients' ills, leading to the invention of the vibrator.",
9922,Into the Sun,en,26/11/2005,12.67,4.4,125,"After the assassination of Tokyo's Governor by Yakuza members, the CIA bureau chief (William Atherton) for Tokyo puts out a call to an agent (Steven Seagal) that had been raised in Japan and trained by ex-Yakuza. Using his former ties, he quickly determines that a war is brewing between old-guard Yakuza members and a young, crazed leader (Takao Osawa) with ties to the Chinese Tong.",
9923,The Last Warrior,ru,18/01/2018,12.669,6,102,"A new era is about to begin in Eastern Europe. Scythians, the proud warriors, are all but gone and most of the few remaining descendants have become ruthless mercenary assassins. Lutobor, a warrior who becomes involved in intertribal conflicts, sets off on a perilous journey to save his family guided by a captive Scythian.",
9924,Hours,en,29/11/2013,12.667,6.6,699,A father struggles to keep his infant daughter alive in the wake of Hurricane Katrina.,
9925,Doraemon: Nobita in the Wan-Nyan Spacetime Odyssey,ja,06/03/2004,12.666,7.4,20,"An elderly dog goes to a time machine, which he plans to use to drive to the future so he can meet with ""someone"" who gives him a kendama. However, the machine goes haywire and the dog is regressed back to his infant state, eventually found by a researcher cat.",
9926,The Sky Crawlers,ja,02/08/2008,12.666,6.7,131,"Youngsters called Kildren, who are destined to live eternally in their adolescence. The Kildren are conscious that every day could be the last, because they fight a war as entertainment, organized and operated by adults. But as they embrace the reality they are faced with, they live their day-to-day lives to the full.",
9927,Cadillac Records,en,05/12/2008,12.666,7.2,384,"The story of sex, violence, race and rock and roll in 1950s Chicago, and the exciting but turbulent lives of some of America's musical legends, including Muddy Waters, Leonard Chess, Little Walter, Howlin' Wolf, Etta James and Chuck Berry.",
9928,Spellbound,en,08/11/1945,12.666,7.4,776,"When Dr. Anthony Edwardes arrives at a Vermont mental hospital to replace the outgoing hospital director, Dr. Constance Peterson, a psychoanalyst, discovers Edwardes is actually an impostor. The man confesses that the real Dr. Edwardes is dead and fears he may have killed him, but cannot recall anything. Dr. Peterson, however is convinced his impostor is innocent of the man's murder, and joins him on a quest to unravel his amnesia through psychoanalysis.",
9929,Widows,en,06/11/2018,12.665,6.5,2127,"A police shootout leaves four thieves dead during an explosive armed robbery attempt in Chicago. Their widows have nothing in common except a debt left behind by their spouses' criminal activities. Hoping to forge a future on their own terms, they join forces to pull off a heist.",
9930,Believer,ko,22/05/2018,12.664,7.2,87,"After a traumatic event, a drug trafficker turns sides and conspires with a dangerously ambitious undercover police officer to bring down the mysterious kingpin of a major drug cartel.",
9931,The Brand New Testament,fr,02/09/2015,12.664,6.7,1489,"God lives in Brussels. On Earth though, God is a coward, with pathetical morals and being odious with his family. His daughter, Ea, is bored at home and can't stand being locked up in a small apartment in ordinary Brussels, until the day she decides to revolt against her dad...",
9932,Searching for Sugar Man,en,30/06/2012,12.664,7.9,824,"Two South Africans set out to discover what happened to their unlikely musical hero, the mysterious 1970s rock 'n' roller, Rodriguez. The film won Best Documentary at the 85th Academy Awards.",
9933,The Artist,fr,12/10/2011,12.664,7.5,3004,"Hollywood, 1927: As silent movie star George Valentin wonders if the arrival of talking pictures will cause him to fade into oblivion, he sparks with Peppy Miller, a young dancer set for a big break.",
9934,La Vie en Rose,fr,14/02/2007,12.664,7.5,1459,"From the mean streets of the Belleville district of Paris to the dazzling limelight of New York's most famous concert halls, Edith Piaf's life was a constant battle to sing and survive, to live and love. Raised in her grandmother's brothel, Piaf was discovered in 1935 by nightclub owner Louis Leplee, who persuaded her to sing despite her extreme nervousness. Piaf became one of France's immortal icons, her voice one of the indelible signatures of the 20th century.",
9935,The Remains of the Day,en,05/11/1993,12.664,7.4,1148,A rule bound head butler's world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in post-WWI Britain. The possibility of romance and his master's cultivation of ties with the Nazi cause challenge his carefully maintained veneer of servitude.,
9936,Firehouse Dog,en,04/04/2007,12.663,5.8,159,"Rexxx, Hollywood's top canine star, gets lost and is adopted into a shabby firehouse. He teams up with a young kid to get the station back on its feet.",
9937,Made in Abyss: Wandering Twilight,ja,18/01/2019,12.662,8.4,100,Second compilation movie of the TV series which covers episodes 9-13. Riko and Reg descend to the third and fourth layer where Riko has her first experience of the Curse.,
9938,Car Wash,en,22/10/1976,12.662,5.8,91,"This day-in-the-life cult comedy focuses on a group of friends working at Sully Boyar's Car Wash in the Los Angeles ghetto. The team meets dozens of eccentric customers -- including a smooth-talking preacher, a wacky cab driver and an ex-convict -- while cracking politically incorrect jokes to a constant soundtrack of disco and funk. Some of the workers find romance as the day moves along, but most are just happy to get through another shift.",
9939,ShikijÃ´ porno: Hageshiku ugoite,ja,01/10/1982,12.661,6.5,5,"Pinku film from 1982, distributed by Nikkatsu.",
9940,A Bittersweet Life,ko,01/04/2005,12.66,7.5,760,"Kim Sun-woo is an enforcer and manager for a hotel owned by a cold, calculative crime boss, Kang who assigns Sun-Woo to a simple errand while he is away on a business trip; to shadow his young mistress, Heesoo, for fear that she may be cheating on him with a younger man with the mandate that he must kill them both if he discovers their affair.",
9941,Edison,en,29/07/2005,12.66,5.3,287,"In the troubled city of Edison, a young journalist, his jaded editor, and an honest investigator from the district attorney's office join forces to gather evidence against corrupt members of an elite police unit.",
9942,21 Grams,en,06/09/2003,12.66,7.3,2833,"Paul Rivers, an ailing mathematician lovelessly married to an English Ã©migrÃ©; Christina Peck, an upper-middle-class suburban housewife and mother of two girls; and Jack Jordan, a born-again ex-con, are brought together by a terrible accident that changes their lives.",
9943,Big Tits Mom Friend,ko,17/07/2020,12.658,6.5,1,"After divorce from her husband, Na-yeon, who lived with her son Dong-jin, suffered from a business failure. At the request of a junior democrat who has nowhere to go, four people live together for a while. Hyung-cheol tries to sex with Min-ju, but is rejected. Hyung-cheol, who is idle without knowing the date, is dissatisfied, I'm going out saying I'm looking for a job even by myself. There are only Nayeon and Hyungcheol at home. Nayeon takes a shower while Hyung-cheol is sleeping and masturbates while thinking of Hyung-cheol.  Hyung-cheol woke up thinking that the moaning in the bathroom was democratic.  Nayeon is surprised to see her masturbating, but she cannot overcome her excitement and attacks her.  When the two sexes were in full swing, Min-ju, who came back home, sees it.  That night, he goes to Dongjin's room and tells the truth...",
9944,St Trinian's 2: The Legend of Fritton's Gold,en,18/12/2009,12.656,5.6,199,The girls of St. Trinians are on the hunt for buried treasure after discovering headmistress Miss Fritton is related to a famous pirate.,
9945,The Manchurian Candidate,en,30/07/2004,12.656,6.5,1379,"Years after his squad was ambushed during the Gulf War, Major Ben Marco finds himself having terrible nightmares. He begins to doubt that his fellow squad-mate Sergeant Raymond Shaw, now a vice-presidential candidate, is the hero he remembers him being. As Marco's doubts deepen, Shaw's political power grows, and, when Marco finds a mysterious implant embedded in his back, the memory of what really happened begins to return.",
9946,Lupin III: The First,ja,06/12/2019,12.655,7.4,263,"The iconic ""gentleman thief"" Lupin III returns in an action-packed, continent-spanning adventure, as Lupin III and his colorful underworld companions race to uncover the secrets of the mysterious Bresson Diary, before it falls into the hands of a dark cabal that will stop at nothing to resurrect the Third Reich.",
9947,Mute,en,23/02/2018,12.655,5.6,975,A mute man with a violent past is forced to take on the teeming underworld of a near-future Berlin as he searches for his missing girlfriend.,
9948,"No Retreat, No Surrender 3: Blood Brothers",en,25/01/1990,12.655,6.1,55,"Two feuding brothers (one a policeman, the other a martial arts expert) of different political views, join forces to avenge the death of their father, a retired agent, killed by the mafia.",
9949,Wishmaster 4: The Prophecy Fulfilled,en,10/06/2002,12.654,4.5,125,"The unspeakable evil of the soul-devouring djinn rises again in this fourth electrifying installment of the unstoppable Wishmaster horror legacy! But now, as a host of new victims see their most nightmarish wishes come true, the world faces the ultimate demonic terror: an onslaught of multiple djinns hell-bent on destroying everything in their path!",
9950,Stan Helsing,en,27/10/2009,12.653,4.2,414,"It's Halloween night and video store clerk Stan Helsing just got stuck with a last minute request to deliver some videos. With his best friend, his best friend's date, and a smoking hot ex-girlfriend waiting to go to a party, Stan convinces them to take a side trip to Stormy Night Estates for the drop. But the group gets locked inside and Stan discovers he's actually Stan Van Helsing, descendan",
9951,Marvel Studios Assembled: The Making of Eternals,en,16/02/2022,12.652,7.4,44,"Join director Chloe Zhao and the Cast of Eternals as they recount their experiences during the making of Marvel Studiosâ€™ most ambitious film to date. Discover how the ensemble cast felt stepping into their roles, filming in remote locations, and creating bonds that would help to create the on-screen relationships that span over 7,000 years.",
9952,Urban Legends: Bloody Mary,en,19/07/2005,12.652,4.9,244,"On a prom-night dare, a trio of high school friends chant an incantation, unleashing an evil spirit from the past with deadly consequences.",
9953,Crows Zero,ja,26/10/2007,12.651,7,301,"The students of Suzuran High compete for the King of School title. An ex-graduate yakuza is sent to kill the son of a criminal group, but he can't make himself do it as he reminds him of his youth.",
9954,My Bossy Girl,ko,04/12/2019,12.649,5.8,11,"One day, during a university festival where people are often known to find a partner, the 3 incredibly single members of the robot club decide to attend. There the sloppy and timid Hwi-so meets a very aggressive girl by the name of Hye-jin. His romantic advances, which he learned through reading books and watching YouTube, finally wake up to make their move. But will two finally become one this fall?",
9955,Brother,ru,12/12/1997,12.648,7.6,347,"Danila goes to his successful brother, Victor, in Petersburg to start a new life. Unknown to Danila, Victor is a contract killer, but is in hiding after asking for too much money to assassinate a Chechen mob boss. To avoid exposure, Victor convinces Danila to kill the boss instead.",
